Formula,Dosef,Hform,Natoms,Mass,Energy,Smax,Fmax,Volume,Gap_wo_soc,Bandgap
K2C2H6S6Se2,0,-0.266,18,458.569,-77.041,0,0.008,1580.263,0.873,0.871
Cu2Br2,0,-0.274,4,286.9,-11.619,0,0,277.895,1.552,1.496
CdInTlSe4,0.108,-0.417,7,747.496,-23.035,0,0.004,607.406,0,0.033
Rb2Ru2Cl10N2O2,0,-0.876,18,787.588,-81.318,0,0.009,1756.129,0.443,0.433
Cr4S6,0,-0.703,10,400.344,-69.132,0.001,0.008,422.258,0.636,0.636
Mn3Se4,3.41,-0.344,7,480.698,-45.487,0,0.01,431.246,0,0
Ag6S6,0,0.029,12,839.569,-41.154,0,0.007,1219.487,2.099,2.096
Li4Cl4,0,-1.795,8,169.56,-29.059,0,0.009,641.136,6.196,6.192
Pb2Cl4,0,-1.146,6,556.2,-21.533,0,0.005,591.449,3.322,2.607
Li2I2,0,-1.202,4,267.689,-11.543,0,0.01,310.563,4.304,4.133
Mn2S2,1.703,-0.412,4,173.996,-29.238,0,0.008,182.115,0,0
Pb3Se3,0,-0.503,6,858.513,-24.742,0,0.009,405.5,0.747,0.207
Be2Br4,0,-1.005,6,337.64,-19.772,0,0.006,455.577,4.301,4.279
Tl12S6,0,-0.288,18,2644.92,-59.622,0,0.008,1831.97,1.289,1.11
Au4Te2,0.121,-0.081,6,1043.066,-19.418,0,0.005,590.606,0,0.075
Ti2Br4Se4,0,-0.924,10,731.234,-42.885,0,0.009,775.427,0.917,0.883
Sn4Tl4As4,0,0.017,12,1592.046,-44.667,0,0.01,1039.993,0.611,0.297
Ag4Br12,0,-0.164,16,1390.321,-33.006,0,0.01,2290.255,0.601,0.58
Y2Cl6,0,-2.303,8,390.512,-38.519,0,0.009,617.082,3.865,3.858
Ag2Au2Se2,2.067,-0.016,6,767.612,-19.003,0,0.01,367.883,0,0
Y4Br4Te4,0,-1.614,12,1185.639,-57.288,0,0.007,1191.547,0.526,0.355
Mn2Cl2F2,0,-1.657,6,218.773,-36.122,0.001,0.002,369.573,2.021,2.02
In2Cl2S2,0,-0.785,6,364.656,-21.96,0,0.007,483.347,2.654,2.643
Cs4Cu4Se4,0,-0.716,12,1101.69,-40.562,0,0.006,1097.095,1.579,1.546
Cu2Tl2S2,0,-0.234,6,599.972,-21.909,0,0.005,457.31,0.72,0.614
Hf2O2Te2,0,-2.125,6,644.178,-44.42,0,0.002,274.996,1.001,0.635
Ga2Ge2Te2,0,-0.252,6,539.906,-22.759,0,0.003,560.153,0.763,0.674
Na2Tl2S2,0,-0.677,6,518.86,-19.83,0,0.002,471.672,2.038,1.924
Bi2H2Se4,0,-0.237,8,735.861,-31.824,0,0.009,543.438,0.979,0.452
Ag2Cu2Br6,14.373,-0.316,10,822.252,-25.704,0,0.01,760.932,0,0
Ag2Pb2Cl6,0,-0.888,10,842.836,-32.789,0,0.006,874.769,2.983,2.439
Cu2Pb2Br6,0,-0.691,10,1020.916,-31.286,0,0.009,888.163,1.877,1.283
As8Ge4,0,-0.047,12,889.893,-55.927,0,0.007,1454.221,1.222,1.186
Cu2Se2,2.619,-0.072,4,285.034,-14.606,0,0.001,455.214,0,0
Nb4S12,0,-0.82,16,756.345,-103.369,0,0.007,1232.85,0.375,0.376
Pd4I8,0,-0.254,12,1440.916,-30.155,0,0.009,2348.422,1.138,1.069
Ta4Te6,4.043,-0.387,10,1489.392,-62.369,0,0.009,1245.661,0,0
Y2Te6,2.256,-0.937,8,943.412,-36.111,0,0.009,734.021,0,0
As4Ge4Se4,0,-0.181,12,906.09,-52.821,0,0.006,1770.491,1.763,1.735
Co8Ta4Te8,3.349,-0.361,20,2216.057,-137.954,0,0.009,1532.86,0,0
In2Si2Te6,0,-0.215,10,1051.406,-37.7,0,0.009,1492.563,0.88,0.682
MgB2H8,0,-0.232,11,53.989,-44.173,0,0.005,520.618,6.082,6.082
Na2H2O2,0,-1.365,6,79.994,-27.7,0,0.008,401.851,2.814,2.802
Nb3I7Te,0,-0.561,11,1294.65,-50.702,0,0.009,1747.703,0.626,0.565
O14S2Te4,0,-1.169,20,798.506,-116.085,0,0.01,1701.51,3.287,3.194
Pd4Tl2Se6,0,-0.376,12,1308.266,-45.682,0,0.004,1629.615,0.908,0.834
Rh2Cl2Te2,0,-0.594,6,531.911,-27.839,0,0.008,816.297,1.07,1.038
Sr2H8O6,0,-1.571,16,279.298,-85.823,0,0.009,894.988,4.414,4.396
V4F12O4,0,-2.756,20,495.743,-128.758,0.002,0.009,1534.214,3.466,3.465
AgBiP2Se6,0,-0.191,10,852.622,-41.048,0,0.01,1323.07,1.417,1.101
CdClHO,0,-1.071,4,164.871,-15.445,0,0.001,400.351,2.541,2.517
Ga2H2O8Se2,0,-1.241,14,427.396,-77.785,0,0.01,961.075,4.304,4.295
Li6H2O8Te2,0,-1.682,18,426.848,-95.662,0,0.009,1253.421,4.062,4.037
MgH2O2,0,-1.766,5,58.319,-27.344,0,0.004,298.224,3.366,3.354
Hg4Se4,0,-0.205,8,1118.252,-19.113,0,0.004,620.833,0.395,0.366
V2Te4,1.641,-0.318,6,612.283,-31.774,0,0.008,424.18,0,0
Tl2Se2,0,-0.196,4,566.702,-12.747,0,0,316.077,0.543,0.494
AgTe2,0.866,0.017,3,363.068,-9.197,0,0,193.424,0,0
CrS2,0,-0.673,3,116.116,-19.583,0,0,144.363,0.915,0.877
CuBr2,2.934,-0.29,3,223.354,-7.717,0,0,253.85,0,0
FeCl2,1.239,-0.704,3,126.745,-14.724,0,0,264.55,0,0
HfCl2,0,-1.54,3,249.39,-15.696,0,0,179.345,1.009,0.908
Ir4Se8,0,-0.336,12,1400.636,-68.996,0,0,800.531,0.871,0.824
MnI2,0,-0.408,3,308.747,-13.897,0,0,357.569,1.524,1.224
PdTe2,0.193,-0.263,3,361.62,-11.018,0,0,248.148,0.248,0
WSe2,0,-0.594,3,341.782,-20.234,0,0,175.14,1.553,1.238
Ti2CF2,2.363,-2.274,5,145.742,-37.143,0,0,159.218,0,0
Y2F2N,1.1,-2.919,5,229.815,-35.505,0,0,207.155,0,0
ZnH2O2,0,-1.161,5,22.042,-23.886,0,0,170.826,2.35,2.333
Ag2WTe4,0,-0.002,7,909.976,-30,0,0,684.93,0.677,0.587
AlNi5I2,2.358,-0.208,8,574.257,-44.592,0,0,314.141,0,0
As2I6,0,-0.21,8,911.27,-19.876,0,0,848.004,2.248,1.911
Bi2F6,0,-2.488,8,531.951,-38.772,0,0,632.057,5.132,4.317
Fe2I6,0.915,-0.077,8,873.117,-27.567,0,0,725.666,0,0
Ir2I6,0,-0.157,8,1145.861,-28.675,0,0,752.621,1.508,1.358
Rh2Br6,0,-0.495,8,685.235,-27.761,0,0,639.428,1.392,1.344
Ti2S6,0,-0.991,8,288.094,-45.778,0,0,355.827,0.297,0.295
Y2I6,0,-1.471,8,939.239,-30.02,0,0,953.404,3.154,2.756
CrW3S8,0,-0.814,12,859.996,-86.256,0,0,628.1,1.292,1.126
BiBrSe,0,-0.583,3,367.855,-11.489,0,0,296.274,1.554,0.733
Co2Br2O2,1.498,-0.679,6,309.672,-33.952,0,0,254.034,0,0
Ga2Br2O2,0,-1.365,6,331.252,-27.415,0,0,279.695,2.534,2.515
Fe2Cl2O2,5.769,-0.887,6,214.588,-37.224,0,0,252.174,0,0
VClI,0,-0.775,3,213.296,-14.114,0,0,257.024,1.155,1.1
Ti2Cl2S2,2.895,-1.53,6,230.754,-34.287,0,0,353.919,0,0
HfSTe,0.114,-1.201,3,338.15,-18.392,0,0,244.706,0,0
Mn2I2Se2,3.428,-0.391,6,521.627,-31.702,0,0,418.067,0,0
Ti2I2N2,0,-1.18,6,377.557,-40.119,0,0,299.575,0.096,0.062
Pd2I2S2,3.631,-0.203,6,530.769,-19.971,0,0,401.461,0,0
Zr2I2Se2,2.42,-1.222,6,594.199,-32.061,0,0,441.049,0,0
Zn2P2Se6,0,-0.297,10,666.534,-36.966,0,0,642.921,1.311,1.307
FeZrBr6,0,-0.961,8,626.493,-33.638,0,0,640.041,0.916,0.871
Mo2Ti4Cl6N3,11.241,-1.318,15,638.089,-104.697,0.001,0.01,572.466,0,0
Mn2I2S,0.074,-0.368,5,395.745,-28.308,0,0.009,287.491,0.099,0.037
Cu2P2SSe5,1.748,-0.113,10,615.955,-40.699,0,0.008,639.429,0,0
Hf2Br3I,0,-1.029,6,723.596,-27.418,0,0.008,416.426,0.84,0.713
Hf2BrI5,0,-0.91,8,1071.406,-31.269,0,0.008,803.924,0.34,0.326
Ni2BrISe2,3.41,-0.288,6,482.137,-26.252,0,0.009,365.941,0,0
Ni2PdSe6,0,-0.263,9,697.633,-41.578,0,0.01,592.821,0.37,0.202
Nb2Br6,0,-0.917,8,665.237,-37.5,0,0.007,652.683,0.078,0.109
CaSn3Br4S4,0,-0.827,12,844.064,-46.756,0,0.009,924.483,0.736,0.712
NbZr3Se8,5.722,-1.212,12,998.346,-74.938,0,0.007,870.424,0,0
IrClS,0,-0.456,3,259.727,-16.508,0,0.009,183.492,1.859,1.457
Ni2Te2,3.363,-0.167,4,372.587,-21.572,0,0,248.316,0,0
GaInS2,0,-0.586,4,248.661,-16.167,0,0.01,245.7,1.775,1.769
IrRuBr4S2,0,-0.317,8,677.023,-35.771,0,0.009,553.971,0.067,0.035
GeSbTe4,2.446,0.014,6,704.79,-21.657,0,0.009,476.842,0,0
In2BrClS2,0,-0.761,6,409.11,-21.618,0,0.007,423.73,1.848,1.849
InMnBr2Se2,0,-0.578,6,487.506,-26.085,0,0.006,543.141,0.182,0.19
Mn2Cl2SSe,0.803,-0.703,6,291.807,-34.782,0,0.009,474.255,0,0
K2Br2F8,0,-1.699,12,389.992,-38.687,0.001,0.002,1493.476,3.401,3.383
Ga2Mn2Se5,2.464,-0.481,9,644.177,-46.979,0,0.004,549.785,0,0
MnSn2ClIO2,0,-1.021,7,486.711,-38.488,0,0.008,418.978,1.476,1.404
Ga2Ni2Te5,4.545,-0.224,9,894.833,-38.339,0,0.001,594.507,0,0
In2Mn2S5,2.057,-0.513,9,499.812,-49.967,0,0.004,539.182,0,0
CuRuCl3Se,0,-0.442,6,349.937,-24.631,0,0.009,405.007,0.349,0.278
MnWSeTe3,0,-0.187,6,700.549,-35.42,0,0.008,397.438,0.126,0.123
AgPdBrCl5,0,-0.357,8,471.442,-20.027,0,0.01,666.967,0.27,0.264
CaI2,0,-1.666,3,293.887,-9.967,0,0,332.179,3.931,3.537
In2Ni2Te5,6.064,-0.208,9,985.023,-37.916,0,0.002,631.506,0,0
Hf3B2Cl2,0.317,-1.112,7,627.99,-47.283,0,0.009,236.126,0,0
P4Se6,0,-0.038,10,597.721,-42.735,0,0.009,1829.839,1.822,1.794
Ag2I2S3Sb4,0,-0.149,11,1052.765,-40.138,0,0.01,1796.231,1.466,1.349
Cu2Sr3I2S4,2.533,-1.262,11,772.001,-45.523,0,0.005,840.585,0,0
Sb4Te6,0,-0.032,10,1252.64,-37.169,0,0.01,2112.807,0.888,0.796
Al2Mn2Te5,3.733,-0.22,9,801.839,-44.915,0,0.006,671.937,0,0
Co2Ga2S5,2.418,-0.497,9,417.612,-47.125,0,0.004,464.028,0,0
Al4S6,0,-1.071,10,300.286,-50.127,0,0.01,792.376,3.141,3.133
As4Te6,0,0.046,10,1065.286,-37.426,0,0.008,1956.879,1.097,1.025
Ga4Se6,0,-0.526,10,752.718,-37.766,0,0.009,907.046,0.998,0.987
Nb4S6,0.917,-1.055,10,563.985,-76.324,0,0.008,1106.53,0,0
Ti4C3Cl2,2.272,-1.135,9,298.401,-68.207,0.001,0.006,214.76,0,0
Zr4C3H2,2.891,-0.733,9,402.945,-70.516,0,0.009,244.001,0,0
Nb4C3S2,2.046,-0.774,9,471.778,-84.085,0.001,0.007,219.554,0,0
Ni3P2S8,0,-0.295,13,494.508,-68.928,0,0.001,1545.832,1.103,1.053
Ga2Te5,0,-0.246,7,777.446,-23.551,0,0.007,1195.222,0.882,0.86
In3S4,1.082,-0.534,7,472.694,-28.342,0,0.009,528.595,0,0
Al2S2,0,-0.845,4,118.083,-19.013,0,0.003,593.526,1.928,1.927
Sc2Br2,2.863,-1.116,4,249.72,-16.951,0,0.007,210.314,0,0
Cu2Cl2,0,-0.451,4,197.992,-12.728,0,0.003,539.324,2.618,2.612
Ge2O2,0,-1.185,4,177.258,-24.021,0,0.006,450.198,2.732,2.686
Au4I8,0,-0.032,12,1803.102,-24.731,0,0.01,2398.187,0.37,0.358
PbCl2,0,-1.168,3,278.1,-10.832,0,0,300.383,3.032,2.367
Sn4As8,0,-0.03,12,1074.213,-53.884,0,0.008,1568.729,0.787,0.75
Ti2AsSe2,2.385,-1.025,5,328.598,-30.135,0,0.009,406.015,0,0
AlNaP2S6,0,-0.642,10,304.279,-46.663,0,0.007,1236.155,2.968,2.952
As2STe2,0,-0.046,5,437.103,-20.046,0,0.002,295.729,0.9,0.709
Co2SbTe2,3.163,-0.175,5,494.826,-28.147,0,0.004,437.404,0,0
Zr2SbSe2,2.419,-1.019,5,462.15,-31.27,0,0.009,484.562,0,0
Co8Ta4Se8,11.962,-0.511,20,1827.025,-143.185,0,0.008,1492.618,0,0
W2F4O4,0,-2.59,10,507.67,-75.711,0.001,0.008,1041.026,2.469,2.36
HgPb2I2O2,0,-0.808,7,900.799,-27.262,0,0.004,862.464,2.256,1.821
Sr2Cl4H8O4,0,-1.544,18,389.1,-85.378,0,0.006,1721.648,5.581,5.57
K2MgH4O8Se2,0,-1.405,17,392.468,-89.199,0,0.009,1211.703,4.374,4.373
Li2MgH4O8Te2,0,-1.481,17,425.409,-91.271,0,0.007,1118.004,4.065,4.041
Mo2NaBr6O2,1.964,-1.181,11,726.312,-56.461,0,0.009,1367.052,0,0
Pd4Ta2Te6,2.474,-0.427,12,1553.176,-59.269,0,0.009,1463.817,0,0
Al2CoSe4,1.233,-0.618,7,428.78,-33.963,0,0.004,478.725,0,0
Ga2MgSe4,0,-0.788,7,479.635,-26.869,0,0.006,527.972,0.468,0.329
Ga2NiTe4,2.449,-0.268,7,708.539,-27.746,0,0.004,561.178,0,0
Cr2PdSe4,2.655,-0.42,7,526.296,-39.512,0,0.002,452.385,0,0
In2VSe4,0.097,-0.568,7,596.462,-31.957,0,0.003,568.091,0,0
Nb4Pd2Te10,0,-0.442,16,1860.465,-88.071,0,0.004,2108.199,0,0.041
BeF4P2S4,0,-1.465,11,275.193,-53.211,0.001,0.007,1150.356,3.924,3.923
Sc2I2Te2,0,-1.261,6,598.921,-26.254,0,0.01,511.164,0.834,0.632
Nb4Cl2Se12,0,-0.728,18,1390.177,-99.78,0,0.008,2559.339,0.629,0.625
Ni2N4O12,0,-0.428,18,365.403,-117.093,0,0.007,1506.02,0.833,0.825
Sn2S6Sb,2.134,-0.302,9,551.54,-39.704,0,0.006,1192.667,0,0
K2PbH6S6,0,-0.408,15,483.805,-56.737,0,0.009,1879.508,1.596,1.59
Na2PdH6S6,0,-0.384,15,350.808,-56.614,0,0.009,1513.423,1.711,1.715
Li6H2S10,0,-0.627,18,364.256,-70.049,0,0.009,1865.745,2.255,2.254
Pd2Se6,1.76,-0.126,8,686.666,-29.546,0,0.008,479.681,0,0
V3WS8,8.505,-0.862,12,593.144,-80.024,0,0.008,633.875,0,0
Re6I2Se8,0,-0.396,16,2002.819,-107.108,0,0.01,1698.587,1.073,0.904
H2O12Sb6,0,-1.254,20,924.564,-119.654,0,0.009,2084.064,2.493,2.489
Ta3Cl7Se,0,-1.261,11,869.965,-59.299,0,0.009,1390.669,0.876,0.863
MoV3Te8,6.892,-0.285,12,1269.574,-65.838,0,0.009,819.47,0,0
Zr2Se10,0,-0.727,12,972.158,-58.362,0,0.006,1637.13,0.243,0.304
Ag4I4Te4,0,-0.117,12,1449.491,-31.496,0,0.007,1972.189,0.785,0.727
Al4Cl4Te4,0,-0.935,12,760.126,-46.133,0,0.008,1973.987,3.159,2.985
Al4I4Se4,0,-0.786,12,931.428,-44.224,0,0.01,1779.736,2.87,2.699
As4Si4Te4,0,-0.061,12,922.426,-53.798,0,0.008,1774.965,1.646,1.574
LiC12,2.333,-0.017,13,151.072,-112.745,0.001,0.003,535.991,0,0
Co2Br2Te2,2.847,-0.3,6,532.874,-27.839,0,0.009,397.248,0,0
TaTe2,5.188,-0.336,3,436.148,-17.235,0,0,220.406,0,0
Zr2Si2Te2,1.57,-0.816,6,493.818,-36.91,0,0.004,498.973,0,0
Ga2Y2Cl2,1.799,-1.396,6,388.158,-27.134,0,0.006,551.857,0,0
Ir2Cl2S2,0,-0.448,6,519.454,-32.967,0,0.007,722.758,1.121,1.141
In2S2Si2,0,-0.349,6,349.926,-26.576,0,0.004,503.056,1.518,1.517
Sb2Se3,0,-0.263,5,480.433,-20.576,0,0,316.699,0.525,0.421
Cu4F4S4,0,-0.832,12,458.418,-47.351,0.001,0.009,1323.377,0.986,0.985
Ga2F2Te2,0,-1.336,6,432.643,-23.408,0,0.007,780.001,2.246,2.095
Li4S8Sb4,0,-0.665,16,771.28,-68.447,0,0.009,1378.92,1.723,1.707
Ga4I4Te4,0,-0.447,12,1296.91,-35.709,0,0.009,2047.605,1.989,1.737
K2H2O2,0,-1.329,6,112.211,-27.31,0,0.008,484.614,3.265,3.26
In2I2Te2,0,-0.446,6,738.645,-17.566,0,0.004,999.644,1.552,1.291
Pt2I2Te2,2.403,-0.335,6,899.177,-24.086,0,0.009,483.974,0,0
Ni2Sr2Si2,5.34,-0.408,6,348.797,-31.092,0,0.003,325.589,0,0
Au2I2S4,0,0.007,8,775.982,-25.475,0,0.005,798.236,0.992,0.862
Co2F2Se4,3.22,-0.712,8,471.747,-39.261,0.001,0.009,334.563,0,0
RuI2O,2.458,-0.425,4,370.878,-19.243,0,0,499.5,0,0
Mn2Sr4I2O6,2.489,-2.223,14,810.159,-90.961,0,0.007,670.567,0,0
AgAlP2Se6,0,-0.316,10,670.623,-41.364,0,0.008,1194.82,1.403,1.366
AgVP2S6,0,-0.381,10,413.117,-50.368,0,0.008,1074.049,0.371,0.371
BiHO6Te2,0,-1.129,10,561.182,-56.441,0,0.009,758.414,3.501,2.979
CuAs2SbSe6,0,-0.06,10,808.975,-38.91,0,0.006,1327.365,0.525,0.509
LiPdP2S6,0,-0.412,10,367.668,-45.027,0,0.008,1031.072,0.107,0.103
Ag2P2Se6,0.912,-0.08,10,751.51,-38.108,0,0.007,684.223,0,0.026
Al2As2O6,0,-2.117,10,299.8,-68.72,0,0.009,373.56,4.604,4.596
Al2In2S6,0,-0.771,10,475.959,-45.179,0,0.003,868.695,2.377,2.372
Ir2As2Se6,0,-0.276,10,1008.103,-51.538,0,0.003,693.233,0.265,0.28
Sc2As2S6,0,-0.957,10,432.115,-52.68,0,0.006,669.162,1.437,1.423
Sn2As2Te6,0,-0.039,10,1152.863,-37.058,0,0.01,889.96,0.437,0.455
Au4O12Se4,0,-0.399,20,1295.738,-95.929,0,0.008,2664.727,0.285,0.268
Co2S2,2.815,-0.419,4,181.986,-26.291,0,0,209.241,0,0
In2O6Sb2,0,-1.464,10,569.15,-59.729,0,0.009,472.598,3.144,3.123
Ir2S6Sb2,0,-0.294,10,820.314,-54.774,0,0.007,657.225,0.303,0.275
Be6As4,0,0.098,10,353.759,-39.884,0,0.009,587.881,1.364,1.279
Zr2Ge2S8,0,-0.94,12,584.188,-67.74,0,0.009,1378.907,1.09,1.088
Sn2Zr2S8,0,-0.954,12,676.348,-66.997,0,0.002,1487.526,1.076,1.072
AlLiI4O12,0,-0.685,18,733.527,-85.364,0,0.008,1217.882,2.743,2.704
Cr2Ta2S10,7.275,-0.753,14,786.488,-89.779,0,0.007,1270.604,0,0
AgF6Ge,0,-2.047,8,294.489,-33.248,0.001,0.01,840.384,0.577,0.575
K2Ta2Cl12,0,-1.584,16,865.492,-68.84,0,0.009,2148.613,2.988,2.886
Na2Ta2Br12,0,-1.136,16,1366.723,-59.431,0,0.008,2062.744,2.095,1.929
Cd2Cu2Cl2Se2,0,-0.543,8,580.762,-24.084,0,0.008,1141.845,0.845,0.84
Ba4As4F4S8,0,-1.758,20,1181.468,-100.1,0.001,0.01,1533.896,2.112,2.095
Cr2Se3,0,-0.525,5,340.905,-31.893,0,0.005,238.055,0.569,0.511
Sr4As4Cl4Se8,0,-1.183,20,1423.734,-84.016,0,0.01,1729.995,1.71,1.589
Cl2Ge2P2S6,0,-0.335,12,470.468,-51.825,0,0.009,1463.399,2.33,2.328
F2Ge2P2S6,0,-0.725,12,437.564,-56.1,0,0.006,1423.117,2.531,2.508
In4S6,0,-0.526,10,651.632,-40.784,0,0.005,881.15,1.659,1.659
In2Te2,0,-0.35,4,484.836,-13.337,0,0,340.205,1.365,1.233
H2O10P2Se2,0,-1.341,16,381.896,-97.038,0,0.01,1024.662,3.479,3.463
Cu6S4,0,-0.11,10,509.516,-39.473,0.001,0.008,757.255,0.163,0.13
K2Os2F10N2S2,0,-1.789,18,740.775,-97.75,0.002,0.01,1129.784,0.907,0.841
Rb2Ru2F10N2O2,0,-1.916,18,623.072,-98.059,0.002,0.006,1151.355,0.95,0.944
Na3Br3,0,-1.569,6,308.681,-18.092,0,0.006,371.816,4.297,4.123
Li6Cl6,0,-1.769,12,254.34,-43.273,0,0.008,776.6,5.929,5.924
Cs6F6,0,-2.692,12,911.423,-46.823,0.002,0.008,754.691,4.502,4.45
Na2F2,0,-2.741,4,83.976,-16.753,0.002,0.01,181.322,5.609,5.59
Fe4Se4,5.84,-0.19,8,539.264,-51.62,0.001,0.009,415.87,0,0
Mn4S4,0.642,-0.428,8,347.992,-58.601,0,0.01,404.334,0,0.006
Pb6Te6,0,-0.341,12,2008.8,-45.873,0,0.006,923.794,0.944,0.279
Be2Cl4,0,-1.398,6,159.824,-22.931,0,0.008,391.594,5.371,5.37
Co2Br4,0,-0.36,6,437.482,-24.954,0,0.01,504.006,0.16,0.131
Be2Tl2As2,0,0.006,6,576.628,-21.689,0,0.008,436.445,0.563,0.096
Mg4Cl8,0,-1.821,12,380.82,-42.606,0,0.006,771.507,5.344,5.339
Pb2F4,0,-2.432,6,490.394,-28.457,0.002,0.005,408.353,4.805,4.397
Cu4Te2,0.039,-0.016,6,509.384,-21.211,0.001,0.004,460.396,0,0.095
Ag2AuSe2,2.17,-0.048,5,570.645,-16.016,0,0.006,330.867,0,0
Ti2Cl4S4,0,-1.175,10,365.774,-48.578,0,0.009,676.523,1.019,1.018
Zr2Br4S4,0,-1.24,10,630.304,-49.854,0,0.01,791.969,1.58,1.575
Cu2Te2,1.446,-0.089,4,382.292,-14.118,0,0.009,440.443,0,0
Au2Br2Se2,0,-0.128,6,711.683,-17.162,0,0.005,519.098,0.804,0.642
Pb2Br2I2,0,-0.831,6,828.017,-18.628,0,0.007,673.394,2.675,1.749
Ca2Cl2I2,0,-1.977,6,404.865,-22.415,0,0.007,602.09,3.947,3.757
Pb2Cl2F2,0,-1.786,6,523.297,-24.977,0.001,0.003,501.716,4.281,3.548
In2Cl2Se2,0,-0.794,6,458.478,-20.824,0,0.009,560.749,2.295,2.23
Cu4Tl4S4,0,-0.244,12,1199.944,-43.936,0,0.006,684.852,0.624,0.543
In2I2S2,0,-0.524,6,547.565,-19.781,0,0.01,502.827,1.572,1.162
In2Tl2Te2,0,-0.184,6,893.596,-18.036,0,0.003,636.792,1.224,0.955
Na2Tl2S2,0,-0.636,6,518.86,-19.584,0,0.009,581.447,2.285,2.178
Ag2Cu2Cl6,11.673,-0.467,10,555.528,-28.409,0,0.009,708.234,0,0
Ag2Pb2I6,0,-0.511,10,1391.563,-27.176,0,0.009,1062.65,2.501,1.701
Au2Ni2I6,0.374,-0.072,10,1272.747,-30.342,0,0.004,820.463,0.305,0.098
Cu2Pb2Cl6,0,-0.876,10,754.192,-34.343,0,0.009,811.33,1.974,1.34
Hg2Na2Br6,0,-0.923,10,926.588,-23.127,0,0.009,897.909,2.409,2.291
Sb2Se6Si2,0,-0.348,10,773.516,-43.988,0,0.002,741.727,1.086,1.01
As8Si4,0,-0.08,12,711.713,-59.857,0,0.009,1405.425,1.439,1.422
Bi4Cu4,1.719,0.046,8,1090.106,-33.029,0,0.009,776.557,0,0
Nb3Cl8,0,-1.345,11,562.319,-60.058,0,0.009,1340.573,0.208,0.206
Pt4I8,0,-0.168,12,1795.572,-39.259,0,0.008,2365.973,1.39,1.225
Y2Cl2,3.591,-1.538,4,248.712,-19.106,0,0.003,442.016,0,0
Al2Mg2Se5,0,-1.026,9,497.428,-37.357,0,0.004,567.971,1.254,1.114
Bi2MnTe4,0,-0.17,7,983.299,-33.078,0,0.008,666.125,0.718,0.11
In2Zn3S6,1.331,-0.621,11,618.136,-40.38,0,0.008,606.036,0,0
Li2V4O10,0,-2.292,16,377.636,-125.787,0,0.003,1419.113,0.309,0.309
Nb2Br4O2,0,-1.66,8,537.427,-50.516,0,0.009,949.368,1.045,1.038
O4S8Sb8,0,-0.624,20,1294.556,-100.85,0,0.009,2893.097,1.961,1.879
Pd3Ta3Te14,7.894,-0.349,20,2648.504,-92.749,0,0.009,2863.788,0,0
Rh2Ta2Te8,0,-0.444,12,1588.507,-64.89,0,0.008,1624.901,0.037,0.076
Sr2O12P4,0,-2.413,18,491.123,-129.73,0,0.009,1806.418,5.087,5.087
V2H2O5,1.869,-1.852,9,183.894,-65.984,0,0.008,621.019,0,0
CdGaInS4,0,-0.591,7,425.195,-27.046,0,0.01,520.732,0.425,0.412
Cu2As4Cl2S3,0,-0.257,11,593.858,-44.64,0,0.009,1500.321,1.212,1.198
HfNa2H6O6,0,-1.683,15,326.512,-86.053,0,0.003,1083.819,4.152,4.113
Mg2Mo2O12Te2,0,-1.951,18,687.698,-128.662,0,0.008,1011.293,3.193,3.167
Nb2Cl4O2,0,-1.898,8,359.611,-53.226,0,0.008,904.378,1.043,1.041
Hg4Te4,0,-0.159,8,1312.768,-17.632,0,0.009,701.872,0.48,0.373
Cr2Se4,1.242,-0.435,6,419.876,-35.356,0,0.009,325.773,0,0
Ti3C2F2,0.918,-1.86,7,205.62,-54.704,0,0,181.484,0,0
C2H2,0,-0.134,4,26.038,-25.623,0,0,93.34,3.463,3.46
FeCl2,0,-0.674,3,126.745,-14.635,0,0,175.684,0.402,0.351
HgI2,0,-0.351,3,454.401,-4.895,0,0,385.446,1.851,1.54
MgCl2,0,-1.887,3,95.205,-10.849,0,0,207.325,5.986,5.941
NiBr2,0,-0.407,3,218.501,-11.636,0,0,211.002,0.875,0.876
Re4Se8,0,-0.403,12,1376.596,-79.325,0,0,728.418,1.239,1.115
SnI2,0,-0.539,3,372.519,-8.629,0,0,338.939,2.043,1.837
ZrBr2,0,-1.339,3,251.032,-14.59,0,0,204.986,0.868,0.828
Ta2BSe2,1.863,-0.836,5,530.648,-37.481,0,0,195.024,0,0
V2CF2,1.942,-1.724,5,151.891,-38.059,0,0,151.404,0,0
Zr2F2N,0.999,-2.592,5,234.452,-39.29,0,0,186.396,0,0
Ta2NS2,1.543,-1.08,5,440.023,-41.541,0,0,186.636,0,0
Bi2S2Se,0,-0.355,5,561.052,-22.763,0,0,323.031,1.056,0.412
Cr2Br6,0,-0.848,8,583.416,-35.111,0,0,641.737,1.518,1.51
Hf2S6,0,-1.209,8,549.34,-49.149,0,0,389.427,1.172,1.157
CrW3Se8,0,-0.557,12,1235.284,-78.41,0,0,693.336,1.067,0.882
AsBrS,0,-0.256,3,186.886,-11.094,0,0,233.371,1.46,1.387
BiBrTe,0,-0.504,3,416.484,-10.975,0,0,318.562,1.594,0.591
Co2Br2S2,2.257,-0.447,6,341.794,-30.465,0,0,321.398,0,0
Pd2I2Se2,1.841,-0.273,6,624.591,-19.2,0,0,428.761,0,0
Sc2Br2O2,0,-2.837,6,281.718,-39.758,0,0,302.868,3.232,3.21
