Formula,Dosef,Hform,Natoms,Mass,Energy,Smax,Fmax,Volume,Gap_wo_soc,Bandgap
Mn4I8,0,-0.384,12,1234.988,-55.304,0,0.009,1186.625,0.888,0.828
Ag8S4,0,-0.073,12,991.186,-39.913,0,0.006,1080.989,2.043,2.028
Cu4Se2,0.014,-0.111,6,412.126,-22.337,0.001,0.008,447.888,0,0.146
Sc2Br4S4,0,-1.206,10,537.768,-44.031,0,0.006,831.285,1.538,1.533
V2Br4Se4,0,-0.592,10,737.383,-43.237,0,0.008,732.837,0.683,0.68
Zr2Cl4Te4,0,-1.154,10,834.648,-46.307,0,0.008,851.132,1.088,1.028
Ag4Na4Se4,0,-0.567,12,839.316,-37.323,0,0.009,700.213,0.603,0.511
W2As2Cl2,1.741,-0.349,6,588.423,-37.959,0,0.008,348.307,0,0
Au2Rb2S2,0,-0.691,6,628.989,-20.381,0,0.005,543.419,1.306,1.211
Cd2Br2Cl2,0,-0.988,6,455.536,-14.52,0,0.009,572.605,3.34,3.226
Ga4Cl4Te4,0,-0.707,12,931.092,-40.062,0,0.008,1122.805,2.336,2.102
K2Tl2O2,0,-0.942,6,518.955,-23.332,0,0.009,423.166,1.546,1.528
Sn2Tl2P2,0,0.026,6,708.128,-23.678,0,0.007,498.758,0.485,0.276
Ag2Sr2Br6,0,-1.427,10,870.4,-32.808,0,0.01,964.939,3.188,3.123
Ca2Na2I6,0,-1.459,10,887.562,-30.097,0,0.01,1107.734,4.152,3.782
Cu2S6Sb2,0,-0.179,10,562.972,-42.426,0,0.005,629.327,0.294,0.273
Li2Mg2Br6,0,-1.506,10,541.914,-31.579,0,0.008,757.246,4.703,4.541
P2,0,0.04,2,61.948,-10.649,0,0,291.091,1.929,1.929
As4S6,0,-0.14,10,492.046,-44.518,0,0.01,1721.141,2.279,2.272
S8Si4,0,-0.661,12,368.82,-62.149,0,0.008,1595.088,3.428,3.428
Zr2Te10,0,-0.514,12,1458.448,-53.026,0,0.009,1964.877,0.17,0.191
